ccode,pcode,km
AGO,VEN,9082
AGO,VNM,10608
AGO,VUT,16049
AGO,YDR,4324
AGO,YEM,4324
AGO,YUG,5947
AGO,ZAF,2841
AGO,ZAR,531
AGO,ZMB,1818
AGO,ZWE,2200
ALB,ABW,9113
ALB,AFG,4348
ALB,AGO,5592
ALB,ALB,
ALB,AND,1539
ALB,ARE,3705
ALB,ARG,11609
ALB,ARM,2079
ALB,AUS,15622
ALB,AUT,809
ALB,AZE,2522
ALB,BDI,5072
ALB,BEN,4241
ALB,BFA,4194
ALB,BGD,6726
ALB,BGR,302
ALB,BHR,3281
ALB,BHS,8764
ALB,BIH,305
ALB,BLR,1514
ALB,BLX,1578
ALB,BLZ,10172
ALB,BMU,4085
ALB,BOL,11046
ALB,BRA,9370
ALB,BRN,10083
ALB,BTN,6422
ALB,BWA,7351
ALB,CAF,4120
ALB,CAN,7255
ALB,CHE,1126
ALB,CHL,12410
ALB,CHN,7704
ALB,CIV,4661
ALB,CMR,4298
ALB,COG,5087
ALB,COL,10109
ALB,CRI,10460
ALB,CSK,1064
ALB,CUB,9295
ALB,CYP,1366
ALB,CZE,1064
ALB,DDR,1322
ALB,DEU,1322
ALB,DJI,4018
ALB,DMA,8183
ALB,DNK,1660
ALB,DOM,8643
ALB,DZA,1552
ALB,ECU,10714
ALB,EGY,1620
ALB,ERI,3431
ALB,ESP,1959
ALB,EST,2044
ALB,ETH,4040
ALB,FIN,2119
ALB,FJI,16757
ALB,FRA,1599
ALB,GAB,4680
ALB,GBR,1883
ALB,GEO,2074
ALB,GER,1322
ALB,GHA,4476
ALB,GIN,4835
ALB,GMB,4695
ALB,GNB,4762
ALB,GRC,483
ALB,GRD,8443
ALB,GTM,10577
ALB,GUF,8190
ALB,GUY,4559
ALB,HKG,8753
ALB,HND,10359
ALB,HRV,586
ALB,HTI,8854
ALB,HUN,668
ALB,IDN,10190
ALB,IND,5333
ALB,IRL,2347
ALB,IRN,2807
ALB,IRQ,2337
ALB,ISL,3659
ALB,ISR,1753
ALB,ITA,629
ALB,JAM,9247
ALB,JOR,1775
ALB,JPN,9514
ALB,KAZ,4618
ALB,KEN,5025
ALB,KGZ,4447
ALB,KHM,8755
ALB,KNA,8151
ALB,KOR,8584
ALB,KWT,2878
ALB,LAO,8131
ALB,LBN,1618
ALB,LBR,4932
ALB,LBY,963
ALB,LCA,8241
ALB,LKA,7030
ALB,LTU,1541
ALB,LUX,1395
ALB,LVA,1767
ALB,MAC,8333
ALB,MAR,2551
ALB,MDA,982
ALB,MDG,7245
ALB,MDV,6734
ALB,MEX,10826
ALB,MKD,104
ALB,MLI,4185
ALB,MLT,762
ALB,MMR,7687
ALB,MNG,6567
ALB,MOZ,7564
ALB,MRT,4268
ALB,MUS,7860
ALB,MWI,6276
ALB,MYS,9095
ALB,NAM,7098
ALB,NCL,16258
ALB,NER,3565
ALB,NGA,4237
ALB,NIC,10437
ALB,NLD,1675
ALB,NOR,2131
ALB,NPL,6060
ALB,NZL,17934
ALB,OMN,4096
ALB,PAK,4724
ALB,PAN,10149
ALB,PER,11478
ALB,PHL,9845
ALB,PNG,13781
ALB,POL,1208
ALB,PRK,8356
ALB,PRT,2480
ALB,PRY,10860
ALB,PYF,17182
ALB,QAT,3421
ALB,ROM,605
ALB,RUS,2029
ALB,RWA,4931
ALB,SAU,3104
ALB,SDN,3136
ALB,SEN,4669
ALB,SER,355
ALB,SGP,9411
ALB,SLB,14957
ALB,SLE,4909
ALB,SLV,10546
ALB,SOM,5065
ALB,SUR,8364
ALB,SVK,789
ALB,SVN,678
ALB,SWE,1994
ALB,SWZ,7609
ALB,SYC,6267
ALB,SYR,1699
ALB,TCD,3288
ALB,TGO,4338
ALB,THA,8251
ALB,TJK,4176
ALB,TKM,3209
ALB,TON,16529
ALB,TTO,8526
ALB,TUN,997
ALB,TUR,1091
ALB,TWN,9102
ALB,TZA,5683
ALB,UGA,4752
ALB,UKR,1254
ALB,URY,11468
ALB,USA,7776
ALB,UZB,4080
ALB,VEN,8966
ALB,VNM,8151
ALB,VUT,16060
ALB,YDR,3732
ALB,YEM,3732
ALB,YUG,355
ALB,ZAF,8343
ALB,ZAR,5091
ALB,ZMB,6380
ALB,ZWE,6691
AND,ABW,7574
AND,AFG,5838
AND,AGO,5786
AND,ALB,1539
AND,AND,
AND,ARE,5227
AND,ARG,10481
AND,ARM,3587
AND,AUS,17160
AND,AUT,1336
AND,AZE,4014
AND,BDI,5821
AND,BEN,3992
AND,BFA,3562
AND,BGD,8206
AND,BGR,1796
AND,BHR,4800
AND,BHS,7269
AND,BIH,1398
AND,BLR,2321
AND,BLX,940
AND,BLZ,8684
AND,BMU,5603
AND,BOL,9636
AND,BRA,8148
AND,BRN,11556
AND,BTN,7879
AND,BWA,7843
AND,CAF,4539
AND,CAN,5938
AND,CHE,781
AND,CHL,11150
AND,CHN,8819
AND,CIV,4181
AND,CMR,4434
AND,COG,5359
AND,COL,8573
AND,CRI,9474
AND,CSK,1318
AND,CUB,7810
AND,CYP,2878
AND,CZE,1318
AND,DDR,1432
AND,DEU,1432
AND,DJI,5296
AND,DMA,6648
AND,DNK,1664
AND,DOM,7107
AND,DZA,662
AND,ECU,9181
AND,EGY,2991
AND,ERI,4681
AND,ESP,457
AND,EST,2493
AND,ETH,5187
AND,FIN,2552
AND,FJI,17344
AND,FRA,696
AND,GAB,4740
AND,GBR,1008
AND,GEO,3560
AND,GER,1432
AND,GHA,4121
AND,GIN,3947
AND,GMB,3647
AND,GNB,3760
AND,GRC,1939
AND,GRD,6914
AND,GTM,9083
AND,GUF,6741
AND,GUY,3571
AND,HKG,10093
AND,HND,8851
AND,HRV,1238
AND,HTI,7321
AND,HUN,1504
AND,IDN,11727
AND,IND,6836
AND,IRL,1334
AND,IRN,4338
AND,IRQ,3873
AND,ISL,2832
AND,ISR,3220
AND,ITA,915
AND,JAM,7722
AND,JOR,3249
AND,JPN,10403
AND,KAZ,5961
AND,KEN,5993
AND,KGZ,5807
AND,KHM,10240
AND,KNA,6612
AND,KOR,9613
AND,KWT,4405
AND,LAO,9591
AND,LBN,3120
